attendance,study_hours,quiz_marks,subject,result
90,6,80,python,1
85,5,75,python,1
60,3,40,python,0
45,1,25,python,0

92,6,85,html,1
80,5,65,html,1
55,2,35,html,0
40,1,20,html,0

88,5,70,css,1
78,4,55,css,1
50,2,30,css,0
35,1,15,css,0

95,7,90,javascript,1
85,6,75,javascript,1
60,3,45,javascript,0
30,1,20,javascript,0

93,6,88,java,1
82,5,70,java,1
50,2,30,java,0
25,1,10,java,0

90,6,85,c,1
75,4,60,c,1
45,2,25,c,0
20,1,10,c,0

92,7,90,cpp,1
84,5,72,cpp,1
52,2,35,cpp,0
32,1,20,cpp,0

96,7,92,ai,1
85,5,75,ai,1
55,2,30,ai,0
28,1,15,ai,0

94,7,90,ml,1
82,5,70,ml,1
48,2,28,ml,0
22,1,12,ml,0